OID_,Status,Score,X,Y,USER_Ward,USER_Precinct,USER_Location2,USER_Location3,Match_addr,USER_City,USER_State,USER_ZipCode,USER_Voting_Roo,USER_HP_Entrance,shape_wkt,POINT_X,POINT_Y
17,M,99.620000000000005,-71.064296146419039,42.376701367263081,2.000000000000000,3,CHARLESTOWN BOYS & GIRLS CLUB ,60 HIGH STREET,"60 High Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,,POINT (-71.064296145999947 42.376701367000067),-71.064296145999947,42.376701367000067
18,M,99.689999999999998,-71.057547457077334,42.376632635657046,2.000000000000000,2,HARVARD/KENT SCHOOL ,50 BUNKER HILL STREET,"50 Bunker Hill Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,,POINT (-71.057547456999941 42.376632636000068),-71.057547456999941,42.376632636000068
19,M,99.640000000000001,-71.067231824187203,42.379089036201634,2.000000000000000,5,CLARENCE R EDWARDS MIDDLE SCHOOL ,28 WALKER STREET,"28 Walker Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,VOTER ENTRANCE REAR SCHOOL YARD FROM EDEN STREET,POINT (-71.067231823999975 42.379089036000039),-71.067231823999975,42.379089036000039
20,M,99.640000000000001,-71.067231824187203,42.379089036201634,2.000000000000000,6,CLARENCE R EDWARDS MIDDLE SCHOOL ,28 WALKER STREET,"28 Walker Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,VOTER ENTRANCE REAR SCHOOL YARD FROM EDEN STREET,POINT (-71.067231823999975 42.379089036000039),-71.067231823999975,42.379089036000039
21,M,99.689999999999998,-71.057547457077334,42.376632635657046,2.000000000000000,4,HARVARD/KENT SCHOOL ,50 BUNKER HILL STREET,"50 Bunker Hill Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,,POINT (-71.057547456999941 42.376632636000068),-71.057547456999941,42.376632636000068
22,M,99.629999999999995,-71.069919649078471,42.379782806327455,2.000000000000000,7,GOLDEN AGE SENIOR CENTER ,382 MAIN STREET,"382 Main Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN LUNCH ROOM,HP ENTRANCE REAR OF BUILDING,POINT (-71.069919648999985 42.379782806000037),-71.069919648999985,42.379782806000037
23,M,99.680000000000007,-71.054921155355373,42.364117364568699,3.000000000000000,3,NORTH END LIBRARY ,25 PARMENTER STREET,"25 Parmenter Street, Boston, Massachusetts, 02113",BOSTON,MA,02113,VOTE IN COMMUNITY ROOM,,POINT (-71.054921154999988 42.364117365000027),-71.054921154999988,42.364117365000027
24,M,99.689999999999998,-71.057547457077334,42.376632635657046,2.000000000000000,8,HARVARD/KENT SCHOOL ,50 BUNKER HILL STREET,"50 Bunker Hill Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,,POINT (-71.057547456999941 42.376632636000068),-71.057547456999941,42.376632636000068
25,M,99.680000000000007,-71.057490208678644,42.364906017838479,3.000000000000000,4,CASA MARIA APARTMENTS ,130 ENDICOTT STREET,"130 Endicott Street, Boston, Massachusetts, 02113",BOSTON,MA,02113,VOTE IN RICKY ANZILOTTI COMMUNITY ROOM,VOTERS ENTRANCE RIGHT SIDE OF BUILDING DOOR AT THE CORNER OF ENDICOTT STREET AND THACHER STREET,POINT (-71.05749020899998 42.364906018000056),-71.057490208999980,42.364906018000056
26,M,97.829999999999998,-71.051981202816577,42.362447354180006,3.000000000000000,1,CHRISTOPHER COLUMBUS ELDERLY HOUSING,145 COMMERICAL STREET,"145 Commercial Street, Boston, Massachusetts, 02109",BOSTON,MA,02109,VOTE IN COMMUNITY ROOM,,POINT (-71.051981202999968 42.362447354000039),-71.051981202999968,42.362447354000039
